# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAGAB	cg22410743 (-27824)
SLC35F4	cg13998988 (-113)
SLC36A2	cg24780796 (-1219)
SLC37A1	cg04090347 (+127574)
SLC38A10	cg17702370 (-14024)
SLC38A2	cg17355400 (-77996)
SLC38A4	cg18064171 (-177), cg17355400 (+375134)
SLC39A14	cg25257677 (-776), cg14348540 (-489)
SLC39A7	cg03963919 (-1462)
SLC39A9	cg16714654 (-1379)
SLC3A2	cg03431111 (-2176)
SLC44A4	cg24707219 (-232), cg27003765 (+8)
SLC45A1	cg19274341 (-233994), cg10227331 (-196238), cg00258316 (-183544), cg14380444 (+199649)
SLC4A10	cg15837233 (-201611)
SLC4A3	cg18951332 (+285261)
SLC5A1	cg14395060 (+2152)
SLC5A12	cg24768113 (-252484), cg25169733 (-242519)
SLC6A18	cg25353384 (+51755)
SLC6A5	cg10278102 (-210729)
SLC7A11	cg05906530 (-318249)
SLC7A13	cg14588399 (-21)
SLC7A14	cg16512144 (-155114)
SLC7A7	cg15070897 (+43)
SLC7A8	cg01267709 (+29092), cg23543481 (+29164), cg19473656 (+29185)
SLC9A3	cg21159260 (+48557)
SLC9A3R1	cg09978353 (+14492)
SLCO5A1	cg14265709 (+7050)
SLIT2	cg24252656 (+629135), cg23893620 (+629199), cg06773116 (+629245), cg16781992 (+730437), cg07695835 (+730798), cg24586554 (+865114)
SLITRK3	cg04238038 (+716)
SLITRK6	cg24392970 (+22), cg25308322 (+105331)
SLPI	cg23480341 (-501)
SMAD5	cg26817546 (+70169)
SMAD7	cg14571194 (+91776)
SMARCD3	cg21192063 (-2628), cg04517044 (-940), cg18479961 (+10582)
SMCR7	cg21390363 (+7311)
SMIM21	cg27096572 (-1384)
SMIM6	cg07251887 (-707)
SMOC2	cg01371493 (+74315)
SMUG1	cg27111444 (-8031), cg11964308 (+47759), cg25701444 (+60800), cg25828185 (+127121), cg03199745 (+128332), cg24392955 (+128452), cg04024827 (+128614), cg06989610 (+130900), cg16370398 (+133864), cg15648389 (+134008), cg03146625 (+134048)
SMURF2	cg17783086 (-117003), cg12097883 (-116754)
SMYD4	cg02467073 (+602)
SNAI2	cg22767166 (+613), cg22283653 (+10090)
SNAPC3	cg19338056 (-430529)
SNRK	cg07582204 (-52752)
SNRNP200	cg18419276 (-610)
SNRNP35	cg21843517 (+6105)
SNRNP48	cg24148304 (-46054)
SNRPA1	cg13985765 (-63792)
SNRPC	cg15265092 (-1683)
SNRPE	cg19366877 (+179897)
SNTB1	cg13192836 (-825788)
SNTG1	cg04495993 (+156627)
SNX10	cg24421397 (+156932)
SNX18	cg18373318 (-428), cg18106582 (+2431)
SNX19	cg26567736 (-972030)
SNX7	cg24841257 (-574)
SNX9	cg03125341 (-362088)
SON	cg11940960 (-1029)
SORBS1	cg02221546 (+247935)
SORCS2	cg25892286 (-6936)
SORL1	cg10052504 (-79025), cg13683424 (-24757), cg26916936 (+647702)
SORT1	cg16988986 (-546), cg02175308 (-488)
SOX11	cg17335199 (+245940), cg27120405 (+380163)
SOX13	cg19366877 (-32092)
SOX2	cg01530605 (-14873)
SOX30	cg12606933 (+854)
SOX5	cg08980987 (-952269), cg15990629 (-952237)
SOX6	cg20446948 (+534767), cg18801955 (+846810)
SOX8	cg03568041 (+15816)
SP6	cg17733447 (-841)
SPAG6	cg18537454 (-11185)
SPARC	cg18764008 (-34389)
SPATA19	cg11747462 (+845795)
SPATA22	cg12317815 (-3856)
SPATA5L1	cg21253427 (+4506)
SPATA9	cg11580351 (-363)
SPDEF	cg10486974 (+24701)
SPEN	cg05960182 (-13998)
SPIDR	cg00729370 (-645509), cg07531663 (-421672), cg02483029 (+124105)
SPON2	cg17158584 (-45879)
SPRED2	cg16681246 (+118000)
SPRN	cg14291745 (-53148)
SPRR2A	cg26059632 (-739)
SPRTN	cg16387254 (-1506)
SPRY1	cg01723706 (+493778)
SPRY2	cg03248761 (-315172)
SPTB	cg18507732 (-55816)
SPTBN4	cg17119849 (+46297)
SQLE	cg09984392 (+1037), cg14660676 (+1687)
SRBD1	cg15679981 (+221991)
SRCIN1	cg01754780 (+33489)
SRD5A1	cg26420013 (-1435)
SREBF2	cg24712290 (+76510)
SRF	cg20976787 (-74576)
SRGAP1	cg17430032 (+79048)
SSC5D	cg23258940 (-4082)
SSH1	cg02059980 (+46609)
SSR3	cg22174337 (+267676)
SSTR5	cg03568041 (-81157)
SSX2IP	cg12279518 (-34173)
ST3GAL2	cg27216788 (+20273)
ST5	cg22841667 (+226877)
ST6GAL2	cg26840082 (-1248)
ST7	cg03772108 (+296520)
ST8SIA6	cg15115171 (-108501)
STARD3	cg11693508 (+3)
STAU1	ch.20.1062061F (+26885)
STAU2	cg19846154 (+327059)
STC1	cg23288838 (+56245), cg03324961 (+106718)
STC2	cg04436554 (+86529)
STEAP2	cg25257955 (+105360)
STEAP3	cg06832677 (-4642)
STIM2	cg27025079 (+2848)
STIP1	cg15432711 (-1373)
STK17A	cg01378182 (-334028)
STK25	cg06469726 (-35361)
STK3	cg05085137 (-1257)
STK39	cg16875057 (+98647)
STMN2	cg17995652 (+155539)
STOML1	cg03328299 (+2705)
STT3B	cg15344504 (+102797)
STUB1	cg09465703 (+3567)
STX18	cg17078326 (+34416), cg17360330 (+84353)
STX2	cg09163477 (+133693), cg15732107 (+152208), cg27485790 (+188445)
STX8	cg13874654 (+460216), cg16263848 (+460746)
SUCLA2	cg06437740 (-466), cg10792625 (+833197)
SULF1	cg14265709 (+361390)
SULT1C2	cg25838818 (+79)
SUMO4	cg16235748 (+51213)
SUSD1	cg14278148 (+274061)
SV2C	cg02515553 (+94205)
SYCE1	cg21024264 (+38112)
SYCP2	cg12181372 (+586)
SYCP2L	cg26640601 (-3197)
SYNDIG1L	cg10900663 (-49740), cg05902130 (+7698)
SYNE1	cg16606731 (-116)
SYT3	cg09284949 (-48878), cg11284196 (-48746), cg20748533 (-48674), cg13536060 (-48370)
SYT5	cg15576730 (-1343)
SYTL1	cg23989110 (+11776), cg11592082 (+11982), cg09230763 (+11988), cg11705208 (+12023), cg26038649 (+12138), cg02673986 (+12549)
T	cg26500033 (-3848), cg19954341 (-1417)
TAAR6	cg05880490 (-482)
TAC4	cg21355201 (-87689), cg05310240 (-53691)
TACC3	cg10755899 (+48886)
TAF1B	cg00075467 (-388)
TAMM41	cg14994183 (-178415)
TAP2	cg25744682 (+8925)
TARDBP	cg17480077 (-177181)
TAS2R1	cg00421223 (-297231)
TBC1D14	cg23927469 (-1718)
TBC1D16	cg17295878 (+84981), cg00256231 (+92913), cg23749482 (+108329), cg05483571 (+108422)
TBC1D22A	cg15475727 (+237867)
TBC1D31	cg16698828 (+125188), cg08541497 (+168910)
TBC1D5	cg18422055 (+764026)
TBC1D8	cg14573099 (+6700)
TBCA	cg13615516 (-197037)
TBCE	cg19269426 (-30206)
TBCEL	cg21893358 (-459949), cg20124551 (-455307)
TBL1XR1	cg13143743 (-656429)
TBR1	cg15837233 (+6720)
TBX1	cg23573129 (+6923), cg10047755 (+7551), cg17338254 (+8297), cg04679902 (+8644)
TBX19	cg12427162 (-51789)
TBX3	cg02506008 (-740126), cg18882486 (-340163), cg17030488 (-51354)
TBX4	cg04921776 (+30851)
TBX5	cg04672622 (+121989)
TCF20	cg15770575 (-149200)
TCF21	cg05590265 (-320896), cg11374681 (-214321)
TCF3	cg11643186 (-82633)
TCF7	cg08063911 (+1073)
TCF7L1	cg16353628 (-120616)
TCF7L2	cg20023578 (-382)
TCP10	cg03298716 (-398398)
TCP10L	cg16417831 (-569)
TDRP	cg14807682 (-944893), cg16922753 (-617511), cg17201135 (-584278), cg08324612 (-534741), cg00281725 (-337268), cg27241889 (-337232), cg21352158 (-337137), cg22305187 (-315571), cg07233677 (+690)
TEAD1	cg11758841 (-236432), cg25037165 (+57696), cg24517989 (+148915)
TEAD2	cg17393635 (+21186)
TECTB	cg16662938 (+72957)
TEKT1	cg26334670 (-62692), cg18007837 (-62387), cg09705592 (-62040), cg01484296 (-61862), cg10331082 (-61827), cg08366845 (-61666)
TENM3	cg00655552 (-302211)
TERT	cg25353384 (+17937)
TEX101	cg07855456 (+6580)
TEX29	cg13127231 (-166065)
TEX37	cg20634498 (-73304)
TFAP2A	cg03754044 (+302561)
TFAP2B	cg08947151 (+892643)
TFAP2C	cg11598935 (+633262), cg03388679 (+634121)
TFB2M	cg14460735 (+898), cg12910806 (+948), cg17815049 (+962)
TFEB	cg00049595 (+52161)
TFF1	cg18656873 (-22817)
TFG	cg00186462 (-26984)
TFR2	cg10681065 (+1171)
TGFA	cg18731202 (+46614)
TGFB3	cg03395898 (-478)
TGFBI	cg09584591 (-234)
TGIF1	cg20386586 (-1982)
TH	cg03024791 (-50227)
THBS2	cg01371493 (+737993)
THNSL2	cg20634498 (+279886)
THRAP3	cg17139085 (+97340)
THRB	cg12405742 (+900), cg10674438 (+390648)
THRSP	cg18402101 (+14561)
THSD4	cg14080982 (+346748)
TIAM2	cg21707172 (+384114)
TIMM22	cg20699780 (+34661)
TIMM23	cg12178669 (+57135)
TIMP3	cg20476019 (-39805)
TIMP4	cg14994183 (+134043)
TIPARP	cg15697575 (+392148), cg19449917 (+430723)
TLCD1	cg09479241 (+549)
TLDC1	cg03024660 (-112052)
TLN2	cg03455316 (-337158), cg23484655 (-336893), cg16902122 (-38345)
TLR5	cg24861436 (+24727)
TLX1	cg26227310 (-5169), cg06382559 (+7384), cg20120208 (+7613)
TM4SF5	cg17900689 (-25924)
TMC2	cg05193435 (+21469)
TMCC3	cg20734030 (-66926)
TMED3	cg26891150 (-27769)
TMEM100	cg25683268 (-83)
TMEM105	cg17702370 (+21345)
TMEM121	cg00804245 (+101205), cg16517838 (+161975)
TMEM126A	cg09063262 (-525), cg06845655 (+3340)
TMEM131	cg12221689 (-215630)
TMEM132B	cg17389956 (+356506)
TMEM14E	cg16537483 (+39239)
TMEM150C	cg13497089 (-235040)
TMEM161B	cg04270358 (-405222), cg00405803 (-387489)
TMEM168	cg27282281 (+168063)
TMEM175	cg22718636 (+35484), cg20456258 (+35950)
TMEM178A	cg21101086 (-56849), cg18968196 (-556)
TMEM184A	cg18500431 (-113424), cg00335591 (-195), cg21368161 (-71), cg00411097 (+15), cg03564557 (+1116)
TMEM200C	cg26438105 (+3834)
TMEM230	cg19333980 (-701)
TMEM247	cg13997788 (-113501)
TMEM251	cg05022301 (-842)
TMEM37	cg08217910 (-532)
TMEM39A	cg15495594 (-4133)
TMEM51	cg02625804 (-276378)
TMEM60	cg15697019 (+69912)
TMEM64	cg18030615 (-5144)
TMEM75	cg24927841 (-742285)
TMEM78	cg12762413 (-511962)
TMEM95	cg05164926 (-2872)
TMPO	cg01808879 (+1929)
TMPRSS12	cg25213362 (-81), cg15169829 (-22), cg12439325 (+53)
TMPRSS3	cg18656873 (+7435)
TMX1	cg23942311 (-100586)
TNFRSF11B	cg23434461 (+160755), cg20519373 (+507868)
TNFRSF4	cg23166857 (+10)
TNFRSF9	cg14614416 (-327)
TNN	cg01787798 (+437444), cg20164016 (+437478)
TNNC2	cg08641963 (+4006)
TNP1	cg17316747 (-424451)
TNPO3	cg27664783 (+981)
TNR	cg20164016 (+238434), cg01787798 (+238468)
TNRC6B	cg17988310 (-218196)
TNRC6C	cg02807192 (-477025), cg26335251 (-461215), cg14652587 (-308565)
TNS1	cg17316747 (+659613)
TNS4	cg07248223 (-59427)
TNXB	cg06539391 (-39737), cg19071976 (-12752)
TOLLIP	cg03322338 (-72900)
TOMM20	cg19746343 (+1845)
TOMM7	cg22407942 (-32359)
TOP3A	cg21390363 (+46572)
TOR4A	cg13977355 (-435)
TOX	cg07211044 (-1217), cg02892925 (-1160), cg06779553 (+11253)
TOX2	cg22589504 (+246774)
TP53AIP1	cg18125090 (-47735)
TP53I3	cg14273083 (+1555)
TP53TG3B	cg10214968 (+991444)
TP63	cg03343083 (+369628)
TPBGL	cg19086497 (+2671)
TPGS2	cg06370528 (-563720)
TPK1	cg18992848 (+1194)
TPM1	cg00543460 (+2613)
TPPP	cg24082121 (+20637)
TPRA1	cg26075423 (+222457), cg23449544 (+372215)
TRABD2B	cg14513071 (+557049)
TRAF1	cg14392772 (+24565)
TRAF3	cg01565703 (+1278)
TRAM1	cg06960514 (+825)
TRAM2	cg02976309 (+407)
TRAPPC12	cg11170044 (-252148)
TRAPPC9	cg16815625 (+239200), cg06693505 (+411224)
TREM1	cg18505453 (-541)
TRERF1	cg25155298 (+11501)
TREX1	cg11557929 (-17937)
TRHDE	cg14905634 (+390907)
TRIM14	cg11317199 (+31088)
TRIM17	cg18918637 (-3858)
TRIM27	cg26481402 (+38715), cg24867279 (+38744), cg03595533 (+106977), cg01498609 (+158104)
TRIM29	cg09977361 (+324)
TRIM41	cg17432513 (-6636)
TRIM63	cg21386414 (-27226), cg06161375 (-470)
TRIM65	cg01453052 (+986)
TRIM67	cg17137424 (+637)
TRIM7	cg17432513 (-11482)
TRIM9	cg23942311 (-43521)
TRIO	cg16016281 (-35378)
TRIP10	cg02085507 (-498)
TRIP6	cg24075113 (+530)
TRPC7	cg26817546 (+162520)
TRPM3	cg21249093 (-787)
TRPM5	cg09738410 (+1970)
TRPS1	cg11888982 (+449807)
TRPV4	cg24706115 (-136)
TSFM	cg17722571 (-210)
TSHZ1	cg16353800 (-4766)
TSN	cg22657302 (+899816)
TSPAN1	cg08638929 (-503)
TSPAN9	cg04941278 (+379554)
TSPEAR	cg23553008 (-12380)
TSPYL5	cg21735068 (+314708)
TTC1	cg19535980 (+83033)
TTLL10	cg06967105 (-5017)
TTLL11	cg13628022 (+129837)
TTLL8	cg10976318 (+28830)
TTN	cg02880032 (+42677)
TUBA3C	cg04103251 (+63276)
TUBB4B	cg13716321 (-5528)
TUBG1	cg02481789 (+43813)
TUBG2	cg02481789 (-5816), cg07968906 (+11620)
TUT1	cg14935206 (-8656)
TWIST2	cg00094744 (+170759)
TXN	cg13783786 (+321556), cg13893012 (+425072)
TXNRD3	cg00180447 (+113737)
U2AF1	cg08276542 (+1747)
UBA3	cg00369990 (-193)
UBAP2L	cg26808167 (-1119), cg18262993 (-954)
UBE2C	cg00242976 (-390), cg08641963 (+10759)
UBE2D3	cg06670463 (+40086)
UBE2E2	cg01971258 (-511785)
UBE2G2	cg23553008 (+78059)
UBE2J2	cg11225330 (+12465), cg17177602 (+12755)
UBE2L3	cg26844104 (+17996)
UBE2M	cg26706163 (-3043)
UBE2T	cg14150727 (+128690)
UBE2U	cg08634298 (-331628), cg02697373 (+153407)
UBE2V2	cg11491002 (+123583)
UBR5	cg15001633 (+159087)
UBR7	cg10254698 (-3905)
UBXN2B	cg11830605 (-397335)
UFC1	cg23981150 (-12451)
UGCG	cg14278148 (+4581)
UGP2	cg14458626 (-234559), cg17360256 (+30778)
ULK1	cg19116018 (-64657)
UMODL1	cg19766460 (+36780)
UNC13B	cg27416261 (+244532)
UNC80	cg23849410 (+186265)
UNCX	cg00421612 (-21204), cg15591276 (-6691), cg05886620 (-6362), cg03110795 (+56868)
UPF2	cg08584759 (+165769), cg22819767 (+210985)
UPK1B	cg08106708 (+31085)
URM1	cg14630692 (+11758), cg13434764 (+23326)
UROD	cg04380118 (+192806)
USE1	cg26279261 (+19922)
USF2	cg04731926 (-1782)
USO1	cg17445155 (+157540)
USP12	cg03268893 (+188529), cg27536286 (+331812)
USP13	cg20193910 (+131046)
USP29	cg26587228 (+10436)
USP32	cg25910083 (-30692), cg04413853 (-30212), cg12131208 (-30206)
USP4	cg03540175 (+140557), cg03352189 (+140585), cg02938205 (+140693)
USP44	cg11210343 (+76112)
USP45	cg16486502 (+80297)
USP50	cg17972930 (+41100)
USP7	cg03866831 (-792087)
USP8	cg17972930 (+81217)
UTF1	cg18330082 (-60028), cg13702953 (-26560), cg02393606 (-10413), cg11716380 (-10276), cg12465710 (-892)
UTS2R	cg09224821 (-2208), cg16423811 (-1433), cg10634115 (-1409)
VAMP3	cg04368242 (-809717), cg00452133 (-523211), cg20800117 (-522962), cg12097989 (-520152)
VANGL1	cg07790079 (-162648), cg25599129 (-162567), cg04548815 (-186)
VARS	cg04018738 (+3113)
VARS2	cg10661769 (-623), cg09424348 (-558), cg18261909 (-536), cg00649377 (-379)
VAV1	cg14794041 (-4577)
VAV3	cg07243548 (+276605)
VAX2	cg19185846 (-4486), cg05021771 (+1570)
VENTX	cg02645368 (+326), cg09827249 (+349), cg23845574 (+363), cg04347264 (+406), cg12554483 (+444), cg12666165 (+674)
VGF	cg00772020 (+769)
VHL	cg15036157 (+9354)
VIPR2	cg13336326 (+82242)
VMO1	cg03704673 (-2561)
VMP1	cg16596536 (-4042)
VOPP1	cg08352439 (+3094)
VPS13B	cg01148781 (-62472)
VPS28	cg26440467 (-679)
VPS33B	cg02532022 (-514)
VPS4A	cg02004370 (+17371)
VPS52	cg12086028 (-1356), cg07362537 (-1150)
VPS54	cg17360256 (+146584)
VRK1	cg12043145 (-57688), cg18354954 (+227973)
VRK2	cg20604286 (+138653)
VRTN	cg05902130 (+69991)
VWA7	cg04018738 (-15546)
VWC2	cg12627948 (+79036)
VWCE	cg07250758 (+13644), cg24011500 (+13665)
WAC	cg24792245 (-1980)
WAPAL	cg17350441 (-108071), cg12103951 (+119257)
WASF2	cg13375463 (-82357)
WDFY2	cg00637144 (+201625)
WDR34	cg14445171 (-845)
WDR4	cg26772386 (+189182)
WDR45B	cg24422797 (-26769)
WDR60	cg13336326 (+206138)
WDR66	cg12705353 (+1085)
WDR83	cg12548088 (-46)
WFS1	cg13867253 (-20312)
WIPF3	cg18046394 (+49825)
WIPI2	cg00987699 (+129)
WISP1	cg10191240 (+26820)
WNT10A	cg06795233 (-7692), cg25242471 (-6352), cg03630015 (+2375), cg14657532 (+17459)
WNT2	cg03772108 (+73442)
WNT2B	cg27181253 (+447)
WNT3	cg18941031 (+4315)
WNT5A	cg11165254 (-212648), cg24265969 (-130509)
WNT6	cg06795233 (+12849), cg25242471 (+14189)
WRNIP1	cg01300914 (-1850)
WSCD1	cg06683719 (-298875), cg10372920 (-171924)
WWP2	cg02250357 (-243)
XIRP2	cg10755878 (-278279), cg07297242 (-277691)
XPA	cg14132620 (-43104)
XPOT	cg17430032 (-481009)
XRCC1	cg18840832 (+872)
XRCC6BP1	cg25055946 (-7299), cg12949547 (+383591)
YAP1	cg05260877 (+87408)
YBX1	cg26837708 (+1883)
YDJC	cg26844104 (+62621)
YEATS4	cg04785213 (-9866)
YTHDC2	cg03705366 (+841505)
YTHDF2	cg20280170 (+38339)
YWHAZ	cg08827060 (-156411), cg01950192 (+102444)
ZADH2	cg16353800 (+3359), cg21786191 (+5290)
ZBTB10	cg13340231 (+151874)
ZBTB12	cg07508649 (-4004)
ZBTB18	cg18379829 (+180623)
ZBTB32	cg24860092 (-65)
ZBTB37	cg06644515 (-2661), cg16290996 (-1503)
ZBTB43	cg14071650 (-187974)
ZBTB44	cg05227350 (-1090), cg14482569 (-1071)
ZBTB47	cg23647554 (+5499)
ZBTB8A	cg16259859 (-26)
ZC2HC1C	cg13783444 (+452)
ZC3H12C	cg05505103 (-178239), cg04064998 (-177953)
ZC3H12D	cg16235748 (+33489)
ZC3H3	cg10349844 (+104435)
ZCCHC14	cg08196561 (+111)
ZDHHC14	cg03125341 (+80043)
ZDHHC20	cg10467557 (+139760)
ZDHHC5	cg13582500 (+1599)
ZEB2	cg20995564 (+106585)
ZFAND2A	cg05886620 (-66367), cg15591276 (-66038), cg00421612 (-51525)
ZFAT	cg22904815 (-118105)
ZFHX3	cg10118462 (-615226)
ZFP37	cg14299234 (-911)
ZFP62	cg12377026 (+11558)
ZFR	cg16300565 (+56201)
ZFR2	cg15111437 (-500)
ZFYVE28	cg23151014 (+2078)
ZHX1	cg08541497 (+32905), cg16698828 (+76627)
ZIC1	cg06611109 (+553312)
ZIC5	cg16033633 (-693)
ZIM3	cg26587228 (+14723)
ZMAT2	cg23910413 (+25487)
ZMIZ1	cg18237330 (-61655)
ZMYND11	cg09889848 (+189586), cg19272109 (+208544), cg16135276 (+279274), cg02594677 (+287963), cg17079987 (+377139), cg12525330 (+506339), cg05585149 (+515421), cg11722581 (+515430), cg01263942 (+515436), cg17198320 (+515454), cg17333886 (+531253), cg13775636 (+531474)
ZMYND15	cg17900689 (+5449)
ZNF100	cg21994712 (+89293), cg08562672 (+89676)
ZNF112	cg06503306 (-4012)
ZNF131	cg14697657 (-263372)
ZNF135	cg27002247 (-21365)
ZNF165	cg09156207 (+9972), cg11517269 (+10037), cg12623302 (+10050)
ZNF174	cg09681675 (+30366)
ZNF184	cg14558529 (-207445)
ZNF208	cg15554505 (+70016)
ZNF212	cg14446166 (-2392)
ZNF23	cg00658652 (-4099)
ZNF236	cg13572782 (+263380)
ZNF267	cg27092191 (-379)
ZNF28	cg07738077 (+21436)
ZNF32	cg22999518 (-243140)
ZNF322	cg04020984 (-328171)
ZNF385D	cg01971258 (-940072)
ZNF407	cg21786191 (+573037)
ZNF414	cg22987448 (-12321)
ZNF429	cg27663389 (-22267), cg10831725 (-21813), cg06405146 (-21577), cg08562672 (+172388), cg21994712 (+172771)
ZNF43	cg15554505 (-104719)
ZNF467	cg04468334 (+55666)
ZNF470	cg26982279 (+502)
ZNF491	cg13660163 (-55)
ZNF492	cg22340508 (+74853)
ZNF506	cg14801158 (-136)
ZNF512B	cg26057840 (+2483)
ZNF528	cg27276128 (+3098)
ZNF534	cg27276128 (-30448)
ZNF580	cg04362853 (-1710), cg27292818 (-1445)
ZNF589	cg02219026 (-380), cg18074165 (+32422)
ZNF596	cg12126859 (+152898)
ZNF597	cg09681675 (+11756)
ZNF600	cg07738077 (-13433)
ZNF608	cg26878870 (+404), cg26942124 (+1042), cg15705930 (+107800)
ZNF618	cg21230317 (-397954)
ZNF641	cg21348975 (+20434)
ZNF644	cg04929932 (+291346)
ZNF655	cg24024660 (+39341), cg12290671 (+39372), cg03133378 (+39484)
ZNF664	cg25459280 (+34880), cg24975642 (+415678), cg14951136 (+416338)
ZNF679	cg21733531 (-128140), cg26105076 (-127814), cg14116463 (-47344)
ZNF703	cg14602087 (+3118), cg00225196 (+3595), cg05570141 (+3691), cg03074188 (+4080)
ZNF704	cg12077319 (-126), cg24636969 (-96), cg13340231 (+237240)
ZNF706	cg08827060 (+95893)
ZNF707	cg18710908 (+21322)
ZNF727	cg12912022 (-951532), cg27486743 (-350313), cg22695986 (-119005), cg26591982 (-115160), cg03229561 (-7634), cg21733531 (+54891), cg26105076 (+55217), cg14116463 (+135687)
ZNF74	cg21299458 (+31492), cg22091609 (+32104), cg04097078 (+36138)
ZNF770	cg24222165 (-383420)
ZNF775	cg00066351 (+54128)
ZNF787	cg20956548 (+14588)
ZNF827	cg07411165 (+98142)
ZNF99	cg22340508 (+74930)
ZPBP	cg12627948 (+240567)
ZSCAN1	cg27002247 (+3808)
ZSCAN16	cg09156207 (-33613), cg11517269 (-33548), cg12623302 (-33535)
ZSCAN2	cg14598478 (-781174)
ZSCAN25	cg24024660 (-18782), cg12290671 (-18751), cg03133378 (-18639)
ZSWIM4	cg05325182 (+9478)
ZSWIM5	cg04380118 (+1603)
ZWILCH	cg18091264 (-1701), cg23446514 (-146)

